mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.8122485478719076,0.17394974558597812,0.06301474571228027,0.009040379213166725,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,1.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.7951807228915663,0.7991967871485943,0.7835671342685371,0.7926482147695658,0.006627302635249067,20
1.474234978357951,0.11283762673303988,0.1273636817932129,0.019455094446051556,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,1.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.785140562248996,0.8092369477911646,0.7835671342685371,0.7926482147695658,0.011747580356505555,20
0.7163236141204834,0.04473154037754235,0.05740563074747721,0.00424478318087874,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,2.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.7871485943775101,0.7971887550200804,0.7855711422845691,0.7899694972273865,0.0051452470678875995,27
1.5295197168986003,0.11711878681478194,0.09889705975850423,0.008344712448645335,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,2.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.785140562248996,0.8052208835341366,0.7895791583166333,0.7933135346999219,0.008612549020960274,19
0.7494317690531412,0.01596464671259951,0.06376481056213379,0.00918796915698358,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,4.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 200}",0.7931726907630522,0.7991967871485943,0.7855711422845691,0.7926468733987385,0.005575058290612708,22
1.7619624932607014,0.320331931305014,0.11953337987263997,0.021997871074858455,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,6,log2,4.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 6, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__n_estimators': 400}",0.7911646586345381,0.8092369477911646,0.7895791583166333,0.7966602549141121,0.008916589617385434,15
1.1625174681345622,0.2051301736527694,0.08193906148274739,0.010756662424784524,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,1.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.6887550200803213,0.7048192771084337,0.6833667334669339,0.6923136768852296,0.009112297034372623,47
2.2060133616129556,0.3622302494140746,0.1263264020284017,0.010226326247908063,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,1.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 400}",0.6867469879518072,0.6987951807228916,0.685370741482966,0.6903043033858882,0.006030188612294932,48
0.9642586708068848,0.05490953077155316,0.06983200709025066,0.003860911613432572,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,2.0,200.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.7048192771084337,0.7269076305220884,0.7114228456913828,0.7143832511073017,0.009257315640493152,40
1.9545055230458577,0.12487028253231855,0.1465772787729899,0.017251470177902798,"RandomForestClassifier(class_weight='balanced', random_state=42)",,balanced,,10,sqrt,2.0,400.0,"{'classifier': RandomForestClassifier(class_weight='balanced', random_state=42), 'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 400}",0.7048192771084337,0.7248995983935743,0.7134268537074149,0.7143819097364744,0.008225526315180877,41
